spectra,Sp_SD
Sp1,16.581274041293273
Sp2,15.12959829011461
Sp3,12.82614039292477
Sp4,11.122505952341042
Sp5,10.987018508903077
Sp6,9.70693234443356
Sp7,9.22548131967472
Sp8,8.68554321100332
Sp9,8.387991472337827
Sp10,7.747726503439633
Sp11,7.271444760137628
Sp12,7.168792395418169
Sp13,6.549591806831967
Sp14,6.342253771546434
Sp15,6.200448920744383
Sp16,5.838000543772032
Sp17,5.7377875780215195
Sp18,5.556129747106347
Sp19,5.403236391030084
Sp20,5.158895326060283
Sp21,5.141831847737287
Sp22,5.033839527937812
Sp23,4.904114300277313
Sp24,4.813666154854359
Sp25,4.792301216615463
Sp26,4.544933671790806
Sp27,4.525382428298002
Sp28,4.411010993189835
Sp29,4.3272420604265145
Sp30,4.181055138498803
Sp31,4.1407429369893
Sp32,4.096505366867707
Sp33,4.067144701010814
Sp34,3.971407386466028
Sp35,3.866026691332532
Sp36,3.8053888909596525
Sp37,3.7527347891049048
Sp38,3.7255448046321704
Sp39,3.5743753598419654
